symbol,date,direction,entry_time,entry_price,target_price,stop_price,exit_time,exit_price,exit_reason,pnl
EXIDEIND,1/2/2024,SELL,2024-01-02 09:55:00,320.95,319.34524999999996,321.752375,2024-01-02 10:25:00,319.34524999999996,target_hit,0.005
EXIDEIND,1/3/2024,SELL,2024-01-03 09:20:00,320.4,318.798,321.20099999999996,2024-01-03 09:40:00,318.798,target_hit,0.005
EXIDEIND,1/3/2024,BUY,2024-01-03 13:10:00,323.0,324.61499999999995,322.1925,2024-01-03 14:55:00,324.61499999999995,target_hit,0.005
EXIDEIND,1/4/2024,SELL,2024-01-04 09:25:00,326.0,324.37,326.815,2024-01-04 13:50:00,326.815,stop_loss,-0.0025
EXIDEIND,1/4/2024,BUY,2024-01-04 13:55:00,327.6,329.238,326.78100000000006,2024-01-04 14:05:00,326.78100000000006,stop_loss,-0.0025
EXIDEIND,1/5/2024,SELL,2024-01-05 10:40:00,324.0,322.38,324.81,2024-01-05 12:00:00,324.81,stop_loss,-0.0025
EXIDEIND,1/5/2024,BUY,2024-01-05 14:55:00,329.85,331.49924999999996,329.02537500000005,2024-01-05 15:15:00,329.02537500000005,stop_loss,-0.0025
EXIDEIND,1/8/2024,SELL,2024-01-08 09:25:00,327.85,326.21075,328.669625,2024-01-08 09:35:00,326.21075,target_hit,0.005
EXIDEIND,1/9/2024,SELL,2024-01-09 09:50:00,325.2,323.574,326.013,2024-01-09 10:10:00,326.013,stop_loss,-0.0025
EXIDEIND,1/9/2024,BUY,2024-01-09 11:30:00,328.55,330.19275,327.728625,2024-01-09 11:40:00,327.728625,stop_loss,-0.0025
EXIDEIND,1/10/2024,SELL,2024-01-10 09:20:00,325.1,323.47450000000003,325.91275,2024-01-10 13:10:00,325.91275,stop_loss,-0.0025
EXIDEIND,1/10/2024,BUY,2024-01-10 14:45:00,328.4,330.0419999999999,327.579,2024-01-10 15:15:00,327.85,time_exit,-0.00167479
EXIDEIND,1/11/2024,BUY,2024-01-11 09:30:00,331.0,332.655,330.1725,2024-01-11 09:40:00,330.1725,stop_loss,-0.0025
EXIDEIND,1/11/2024,SELL,2024-01-11 10:25:00,328.55,326.90725000000003,329.371375,2024-01-11 10:35:00,329.371375,stop_loss,-0.0025
EXIDEIND,1/12/2024,SELL,2024-01-12 09:20:00,337.3,335.6135,338.14324999999997,2024-01-12 10:05:00,335.6135,target_hit,0.005
EXIDEIND,1/15/2024,SELL,2024-01-15 09:20:00,336.65,334.96675,337.49162499999994,2024-01-15 09:40:00,334.96675,target_hit,0.005
EXIDEIND,1/16/2024,BUY,2024-01-16 09:35:00,327.85,329.48924999999997,327.03037500000005,2024-01-16 10:45:00,329.48924999999997,target_hit,0.005
EXIDEIND,1/16/2024,SELL,2024-01-16 13:00:00,324.6,322.97700000000003,325.4115,2024-01-16 13:45:00,325.4115,stop_loss,-0.0025
EXIDEIND,1/17/2024,BUY,2024-01-17 09:25:00,323.05,324.66524999999996,322.24237500000004,2024-01-17 09:55:00,322.24237500000004,stop_loss,-0.0025
EXIDEIND,1/18/2024,SELL,2024-01-18 09:25:00,316.3,314.7185,317.09075,2024-01-18 09:35:00,314.7185,target_hit,0.005
EXIDEIND,1/18/2024,BUY,2024-01-18 13:45:00,321.35,322.95675,320.54662500000006,2024-01-18 13:55:00,320.54662500000006,stop_loss,-0.0025
EXIDEIND,1/19/2024,BUY,2024-01-19 10:35:00,324.0,325.61999999999995,323.19,2024-01-19 11:15:00,323.19,stop_loss,-0.0025
EXIDEIND,1/20/2024,SELL,2024-01-20 09:20:00,328.45,326.80775,329.271125,2024-01-20 09:30:00,326.80775,target_hit,0.005
EXIDEIND,1/23/2024,SELL,2024-01-23 09:20:00,323.25,321.63375,324.05812499999996,2024-01-23 09:55:00,321.63375,target_hit,0.005
EXIDEIND,1/24/2024,SELL,2024-01-24 09:20:00,317.6,316.012,318.394,2024-01-24 09:35:00,318.394,stop_loss,-0.0025
EXIDEIND,1/24/2024,BUY,2024-01-24 09:20:00,317.6,319.188,316.80600000000004,2024-01-24 10:15:00,316.80600000000004,stop_loss,-0.0025
EXIDEIND,1/25/2024,SELL,2024-01-25 09:30:00,313.4,311.83299999999997,314.1835,2024-01-25 10:00:00,314.1835,stop_loss,-0.0025
EXIDEIND,1/29/2024,BUY,2024-01-29 11:05:00,314.95,316.52475,314.162625,2024-01-29 12:30:00,316.52475,target_hit,0.005
EXIDEIND,1/30/2024,SELL,2024-01-30 09:20:00,317.95,316.36025,318.744875,2024-01-30 09:30:00,316.36025,target_hit,0.005
EXIDEIND,1/30/2024,BUY,2024-01-30 12:55:00,319.75,321.34874999999994,318.950625,2024-01-30 14:00:00,321.34874999999994,target_hit,0.005
